image;true_plate;pred_plate;similarity;match
1755866167_0.9_(49, 100, 3)_Z2M-424.jpg;Z2M-424;Z2M-424;1.0;✅
1755866170_0.9_(46, 92, 3)_BHP-297.jpg;BHP-297;BHP-297;1.0;✅
1755866191_0.9_(48, 98, 3)_BKQ-659.jpg;BKQ-659;BKQ-659;1.0;✅
1755866271_0.9_(45, 98, 3)_Z3P-791.jpg;Z3P-791;Z3P-791;1.0;✅
1755866274_0.9_(52, 105, 3)_Z5U-453.jpg;Z5U-453;Z5U-453;1.0;✅
1755866275_0.9_(66, 112, 3)_Z5L-453.jpg;Z5U-453;Z5L-453;0.857;❌
1755866307_0.91_(48, 96, 3)_Z50-343.jpg;Z50-343;Z50-343;1.0;✅
1755866307_0.91_(56, 105, 3)_750-343.jpg;Z50-343;750-343;0.857;❌
1755866333_0.9_(56, 104, 3)_APH-716.jpg;APH-716;APH-716;1.0;✅
1755866336_0.91_(46, 98, 3)_V8V-084.jpg;V8V-084;V8V-084;1.0;✅
1755866431_0.91_(53, 107, 3)_COG-679.jpg;C0G-679;COG-679;0.857;❌
1755866477_0.9_(50, 100, 3)_APF-394.jpg;APF-394;APF-394;1.0;✅
1755866484_0.9_(50, 104, 3)_Z3T-663.jpg;Z3T-663;Z3T-663;1.0;✅
1755866521_0.92_(46, 94, 3)_75C-592.jpg;Z5C-592;75C-592;0.857;❌
1755866566_0.9_(64, 110, 3)_Y3F-143.jpg;X3F-143;Y3F-143;0.857;❌
1755866603_0.9_(46, 95, 3)_X1J-790.jpg;X1J-790;X1J-790;1.0;✅
1755866681_0.91_(48, 93, 3)_Z3P-326.jpg;Z3P-326;Z3P-326;1.0;✅
1755866685_0.9_(48, 96, 3)_Z6F-642.jpg;Z6F-642;Z6F-642;1.0;✅
1755866688_0.91_(55, 109, 3)_V6M-925.jpg;V6M-925;V6M-925;1.0;✅
1755866691_0.91_(42, 96, 3)_X5J-730.jpg;X5J-730;X5J-730;1.0;✅
1755866701_0.91_(51, 100, 3)_Z5D-490.jpg;Z5D-490;Z5D-490;1.0;✅
1755866708_0.9_(47, 95, 3)_Z7T-469.jpg;Z7T-469;Z7T-469;1.0;✅
1755866735_0.9_(46, 95, 3)_Z5Q-767.jpg;Z5Q-767;Z5Q-767;1.0;✅
1755866769_0.9_(45, 97, 3)_Z7W-135.jpg;Z7W-135;Z7W-135;1.0;✅
1755866846_0.91_(61, 109, 3)_AMO-819.jpg;AMO-819;AMO-819;1.0;✅
1755866848_0.9_(47, 97, 3)_VCA-701.jpg;VCA-701;VCA-701;1.0;✅
1755866863_0.91_(48, 97, 3)_Z3E-444.jpg;Z3E-444;Z3E-444;1.0;✅
1755866869_0.9_(49, 99, 3)_AUM-201.jpg;AUM-201;AUM-201;1.0;✅
1755866962_0.9_(59, 110, 3)_B3W-759.jpg;B3W-759;B3H-759;0.857;❌
1755866976_0.9_(52, 108, 3)_B2U-796.jpg;B2U-796;B2U-796;1.0;✅
1755867013_0.9_(51, 99, 3)_BRV-568.jpg;BRV-568;BRV-568;1.0;✅
1755867016_0.9_(47, 100, 3)_VOX-966.jpg;V0X-966;VOX-966;0.857;❌
1755867062_0.9_(58, 110, 3)_Z7W-006.jpg;Z7W-006;Z7H-006;0.857;❌
1755867068_0.9_(46, 108, 3)_C8U-187.jpg;C8U-187;C8U-187;1.0;✅
1755867099_0.9_(52, 102, 3)_A5Z-645.jpg;A5Z-645;A5Z-645;1.0;✅
1755867103_0.9_(45, 90, 3)_ERA-728.jpg;ERA-728;ERA-728;1.0;✅
1755867108_0.9_(46, 94, 3)_V9Q-064.jpg;V9Q-064;V9Q-064;1.0;✅
1755867109_0.9_(55, 105, 3)_19Q-064.jpg;V9Q-064;19Q-064;0.857;❌
1755867134_0.9_(64, 108, 3)_ABA-734.jpg;ABA-734;4BA-734;0.857;❌
1755867157_0.9_(52, 103, 3)_Y3A-006.jpg;X3A-006;Y3A-006;0.857;❌
1755867182_0.9_(47, 92, 3)_Z6D-275.jpg;Z6D-275;Z6D-275;1.0;✅
1755867230_0.91_(55, 108, 3)_Z5F-631.jpg;Z5F-631;Z5F-631;1.0;✅
1755867236_0.91_(49, 97, 3)_Z7C-220.jpg;Z7C-220;Z7C-220;1.0;✅
1755867248_0.91_(109, 119, 3)_Z5J-714.jpg;Z5J-714;Z5J-714;1.0;✅
1755867315_0.91_(51, 98, 3)_F5H-768.jpg;F5H-768;F5H-768;1.0;✅
1755867382_0.9_(64, 116, 3)_BDM-402.jpg;BDM-402;BDM-402;1.0;✅
1755867393_0.9_(49, 95, 3)_VDY-836.jpg;VDY-836;VDY-836;1.0;✅
1755867401_0.9_(53, 103, 3)_BYW-137.jpg;BYW-137;BYW-137;1.0;✅
1755867409_0.91_(50, 96, 3)_Y2C-212.jpg;Y2C-212;Y2C-212;1.0;✅
1755867414_0.91_(55, 107, 3)_X50-334.jpg;X5O-334;X50-334;0.857;❌
1755867417_0.91_(57, 112, 3)_Z4X-252.jpg;Z4X-252;Z4X-252;1.0;✅
1755867476_0.91_(47, 97, 3)_B71-205.jpg;B7I-205;871-205;0.714;❌
1755867500_0.9_(48, 110, 3)_A8D-764.jpg;A8D-764;A8D-764;1.0;✅
1755867507_0.9_(54, 108, 3)_BLK-359.jpg;BLK-359;BLK-359;1.0;✅
1755867579_0.9_(55, 111, 3)_Z5Z-557.jpg;Z5Z-557;Z5Z-557;1.0;✅
1755867603_0.9_(46, 108, 3)_A4M-799.jpg;A4M-799;A4M-799;1.0;✅
1755867626_0.9_(51, 99, 3)_BEX-018.jpg;BEX-018;BEX-018;1.0;✅
1755867644_0.9_(51, 92, 3)_VDS-785.jpg;VDS-785;VDS-785;1.0;✅
1755867691_0.9_(66, 116, 3)_Z5X-789.jpg;Z5X-789;Z5X-789;1.0;✅
1755867708_0.91_(47, 94, 3)_Z3V-367.jpg;Z3V-367;Z3V-367;1.0;✅
1755867716_0.9_(48, 95, 3)_Z4J-227.jpg;Z4J-227;Z4J-227;1.0;✅
1755867723_0.91_(51, 100, 3)_BYU-726.jpg;BYU-726;BYU-726;1.0;✅
1755867725_0.91_(51, 109, 3)_V8J-173.jpg;V8J-173;V8J-173;1.0;✅
1755867745_0.91_(53, 101, 3)_Z6B-834.jpg;Z6B-834;Z6B-834;1.0;✅
1755867762_0.9_(50, 102, 3)_Z3J-707.jpg;Z3J-707;Z3J-707;1.0;✅
1755867772_0.9_(54, 102, 3)_S1B-772.jpg;S1B-772;S1B-772;1.0;✅
1755867776_0.9_(45, 95, 3)_750-460.jpg;Z5O-460;750-460;0.714;❌
1755867780_0.9_(60, 111, 3)_Z6W-329.jpg;Z6W-329;Z6W-329;1.0;✅
1755867790_0.9_(55, 104, 3)_V9K-468.jpg;V9K-468;V9K-468;1.0;✅
1755867797_0.9_(44, 90, 3)_D9Y-142.jpg;D9Y-142;19Y-142;0.857;❌
1755867812_0.91_(54, 103, 3)_Y3T-626.jpg;X3T-626;Y3T-626;0.857;❌
1755867812_0.9_(57, 102, 3)_X3T-626.jpg;X3T-626;X3T-626;1.0;✅
1755867815_0.9_(61, 111, 3)_Z5G-950.jpg;Z5G-950;Z5G-950;1.0;✅
1755867825_0.91_(45, 104, 3)_FOY-519.jpg;F0Y-519;FOY-519;0.857;❌
1755867829_0.91_(58, 113, 3)_F5P-410.jpg;F5P-410;F5P-410;1.0;✅
1755867847_0.9_(54, 106, 3)_X4H-195.jpg;X4H-195;X4H-195;1.0;✅
1755867850_0.91_(52, 100, 3)_C2U-205.jpg;C2U-205;C2U-205;1.0;✅
1755867860_0.91_(49, 93, 3)_Z1S-762.jpg;Z1S-762;Z1S-762;1.0;✅
1755867863_0.92_(120, 126, 3)_L1S-762.jpg;L1S-762;L1S-762;1.0;✅
1755867891_0.9_(50, 96, 3)_Z3C-048.jpg;Z3C-048;Z3C-048;1.0;✅
1755867895_0.91_(48, 97, 3)_Z5L-154.jpg;Z5L-154;Z5L-154;1.0;✅
1755867898_0.9_(58, 110, 3)_Z5Q-765.jpg;Z5Q-765;Z5Q-765;1.0;✅
1755867902_0.9_(50, 102, 3)_Z7U-115.jpg;Z7U-115;Z7U-115;1.0;✅
1755867935_0.91_(57, 107, 3)_A80-757.jpg;A8D-757;A80-757;0.857;❌
1755867948_0.91_(58, 112, 3)_B3H-759.jpg;B3W-759;B3H-759;0.857;❌
1755867949_0.9_(62, 113, 3)_B3W-759.jpg;B3W-759;B3W-759;1.0;✅
1755867979_0.9_(49, 106, 3)_Z2P-096.jpg;Z2P-096;Z2P-096;1.0;✅
1755867982_0.91_(52, 101, 3)_Z7N-143.jpg;Z7N-143;Z7N-143;1.0;✅
1755868027_0.9_(49, 95, 3)_AOH-798.jpg;A0W-798;1OH-798;0.571;❌
1755868030_0.9_(131, 138, 3)_AOW-798.jpg;A0W-798;A0W-798;1.0;✅
1755868034_0.9_(51, 104, 3)_Z8S-813.jpg;Z8S-813;Z8S-813;1.0;✅
1755868036_0.9_(48, 100, 3)_Z8L-874.jpg;Z8L-874;Z8L-874;1.0;✅
1755868040_0.9_(50, 96, 3)_BHG-267.jpg;BHG-267;BHG-267;1.0;✅
1755868044_0.91_(50, 97, 3)_D1I-153.jpg;D1I-153;D1I-153;1.0;✅
1755868044_0.91_(53, 102, 3)_D11-153.jpg;D11-153;D11-153;1.0;✅
1755868058_0.91_(46, 97, 3)_72Y-720.jpg;72Y-720;72Y-728;0.857;❌
1755868062_0.9_(56, 108, 3)_V9F-202.jpg;V9F-202;V9F-202;1.0;✅
1755868068_0.9_(47, 97, 3)_BPW-164.jpg;BPW-164;BPW-164;1.0;✅
1755868072_0.9_(70, 117, 3)_Z7P-666.jpg;Z7P-666;Z7P-666;1.0;✅
1755868077_0.9_(47, 95, 3)_Z70-399.jpg;Z7O-399;Z70-399;0.857;❌
1755868082_0.91_(49, 98, 3)_Z7W-377.jpg;Z7W-377;Z7W-377;1.0;✅
1755868110_0.91_(128, 129, 3)_L5J-714.jpg;Z5J-714;L5J-714;0.857;❌
1755868129_0.91_(45, 95, 3)_V4E-442.jpg;V4E-442;14E-442;0.857;❌
1755868130_0.9_(49, 101, 3)_14E-442.jpg;V4E-442;14E-442;0.857;❌
1755868134_0.92_(48, 98, 3)_X3F-317.jpg;X3F-317;X3F-317;1.0;✅
1755868141_0.9_(58, 111, 3)_Z3J-707.jpg;Z3J-707;Z3J-707;1.0;✅
1755868148_0.9_(60, 106, 3)_X3H-030.jpg;X3H-030;X3H-030;1.0;✅
1755868151_0.9_(47, 95, 3)_Z7J-697.jpg;Z7J-697;Z7J-697;1.0;✅
1755868156_0.9_(49, 92, 3)_AYJ-561.jpg;AYJ-561;AYJ-561;1.0;✅
1755868158_0.92_(55, 98, 3)_4YJ-561.jpg;4YJ-561;AYJ-561;0.857;❌
1755868169_0.91_(64, 112, 3)_S1B-772.jpg;S1B-772;S1B-772;1.0;✅
1755868213_0.9_(47, 100, 3)_A5E-785.jpg;A5E-785;A5E-785;1.0;✅
1755868214_0.91_(50, 106, 3)_45E-785.jpg;45E-785;45E-785;1.0;✅
1755868233_0.9_(51, 109, 3)_Z6E-393.jpg;Z6E-393;Z6E-393;1.0;✅
1755868237_0.9_(63, 115, 3)_V1H-723.jpg;Y1H-723;V1H-723;0.857;❌
1755868252_0.9_(49, 98, 3)_V5B-631.jpg;V5B-631;V5B-631;1.0;✅
1755868316_0.9_(56, 111, 3)_FOB-739.jpg;F0B-739;FOB-739;0.857;❌
1755868367_0.9_(57, 105, 3)_Z4Q-197.jpg;Z4Q-197;Z4Q-197;1.0;✅
1755868377_0.91_(52, 105, 3)_Z7U-204.jpg;Z7U-204;Z7U-204;1.0;✅
1755868390_0.9_(59, 110, 3)_A7V-766.jpg;A7V-766;A7V-766;1.0;✅
1755868410_0.9_(47, 98, 3)_Z3C-760.jpg;Z3C-760;Z3C-760;1.0;✅
1755868462_0.9_(51, 102, 3)_V9N-697.jpg;V9N-697;/9N-697;0.857;❌
1755868467_0.91_(46, 93, 3)_V8B-614.jpg;V8B-614;V8B-614;1.0;✅
1755868503_0.91_(50, 98, 3)_Z6L-717.jpg;Z6U-717;Z6U-717;1.0;✅
1755868523_0.9_(53, 105, 3)_Z7Z-085.jpg;Z7Z-085;Z7Z-085;1.0;✅
1755868553_0.9_(51, 109, 3)_B2U-796.jpg;B2U-796;B2U-796;1.0;✅
1755868571_0.91_(48, 96, 3)_BRT-304.jpg;BRT-304;BRT-304;1.0;✅
1755868575_0.91_(61, 110, 3)_ATO-102.jpg;ATO-102;ATO-102;1.0;✅
1755868621_0.9_(56, 104, 3)_BBW-631.jpg;BBW-631;BBW-631;1.0;✅
1755868632_0.91_(44, 95, 3)_A9C-789.jpg;A9C-789;A9C-789;1.0;✅
1755868683_0.9_(51, 101, 3)_Z3C-760.jpg;Z3C-760;Z3C-760;1.0;✅
1755868729_0.91_(51, 97, 3)_ICQ-067.jpg;ICQ-067;CQ-067;0.923;❌
1755868766_0.9_(51, 102, 3)_AYA-568.jpg;AYA-568;AYA-568;1.0;✅
1755868769_0.9_(57, 106, 3)_AZH-270.jpg;AZH-270;AZH-270;1.0;✅
1755868815_0.9_(51, 114, 3)_B30-733.jpg;B30-733;B30-733;1.0;✅
1755868871_0.91_(48, 97, 3)_Z7X-303.jpg;Z7X-303;Z7X-303;1.0;✅
1755868919_0.9_(51, 100, 3)_Z4G-081.jpg;Z4G-081;Z4G-081;1.0;✅
1755868921_0.91_(61, 107, 3)_X3Y-506.jpg;X3Y-506;X3Y-506;1.0;✅
1755868990_0.9_(48, 98, 3)_Z3W-660.jpg;Z3W-660;Z3W-660;1.0;✅
1755869368_0.9_(59, 107, 3)_X3R-360.jpg;X3R-360;X3R-360;1.0;✅
1755869377_0.9_(48, 93, 3)_D2R-594.jpg;D2R-594;D2R-594;1.0;✅
1755869386_0.9_(49, 97, 3)_V7C-801.jpg;V7C-801;V7C-801;1.0;✅
1755869394_0.9_(47, 96, 3)_Z5B-649.jpg;Z5B-649;Z5B-649;1.0;✅
1755869505_0.9_(126, 134, 3)_N2X-710.jpg;V2X-710;N2X-710;0.857;❌
1755869536_0.91_(52, 103, 3)_Z8S-813.jpg;Z8S-813;Z8S-813;1.0;✅
1755869570_0.9_(51, 107, 3)_Z4Q-021.jpg;Z4Q-021;Z4Q-021;1.0;✅
1755869582_0.91_(65, 116, 3)_Z8M-738.jpg;Z8M-738;Z8M-738;1.0;✅
1755869632_0.9_(63, 114, 3)_Z5F-558.jpg;Z5F-558;Z5F-558;1.0;✅
1755869679_0.9_(63, 113, 3)_V7C-801.jpg;V7C-801;V7C-801;1.0;✅
1755869713_0.9_(60, 112, 3)_APF-394.jpg;APF-394;APF-394;1.0;✅
1755870055_0.9_(48, 97, 3)_B2C-509.jpg;B2C-509;B2C-509;1.0;✅
1755870085_0.9_(45, 94, 3)_Z7J-462.jpg;Z7J-462;Z7J-462;1.0;✅
1755870135_0.9_(51, 104, 3)_Z4T-372.jpg;Z4T-372;Z4T-372;1.0;✅
1755870154_0.91_(48, 105, 3)_Y1L-742.jpg;Y1L-742;Y1L-742;1.0;✅
1755870168_0.9_(54, 99, 3)_130-397.jpg;V30-397;/30-397;0.857;❌
1755870182_0.9_(47, 96, 3)_Z5T-688.jpg;Z5T-688;Z5T-688;1.0;✅
1755870240_0.9_(58, 108, 3)_Z6K-411.jpg;Z6K-411;Z6K-411;1.0;✅
1755870251_0.91_(48, 97, 3)_45K-770.jpg;45K-770;45K-770;1.0;✅
1755870281_0.9_(60, 105, 3)_V4F-244.jpg;V4F-244;V4F-24;0.923;❌
1755870289_0.91_(47, 92, 3)_Z7C-049.jpg;Z7C-049;Z7C-049;1.0;✅
1755870393_0.9_(50, 107, 3)_Y1L-742.jpg;Y1L-742;Y1L-742;1.0;✅
1755870444_0.91_(48, 97, 3)_ACL-585.jpg;ACL-585;ACL-585;1.0;✅
1755870523_0.91_(50, 102, 3)_Z51-804.jpg;Z5I-804;Z51-804;0.857;❌
1755870633_0.9_(49, 99, 3)_Z8C-747.jpg;Z8C-747;Z8C-747;1.0;✅
1755870662_0.91_(48, 96, 3)_AOT-720.jpg;A0T-720;AOT-720;0.857;❌
1755870687_0.91_(67, 124, 3)_CDL-482.jpg;CDU-482;CDU-482;1.0;✅
1755870769_0.9_(49, 99, 3)_Z7W-377.jpg;Z7W-377;Z7W-377;1.0;✅
1755870783_0.9_(48, 98, 3)_Z8C-206.jpg;Z8C-206;Z8C-206;1.0;✅
1755870785_0.9_(119, 121, 3)_L8C-206.jpg;L8C-206;L8C-206;1.0;✅
1755870826_0.9_(52, 102, 3)_V6M-597.jpg;V6M-597;V6M-597;1.0;✅
1755870914_0.9_(47, 99, 3)_AOT-720.jpg;AOT-720;AOT-720;1.0;✅
1755871079_0.9_(62, 114, 3)_Z4J-763.jpg;Z4J-763;Z4J-763;1.0;✅
1755871103_0.9_(59, 110, 3)_S1B-589.jpg;S1B-589;S1B-589;1.0;✅
1755871108_0.9_(52, 112, 3)_Z1J-781.jpg;Z1J-781;Z1J-781;1.0;✅
1755871139_0.9_(50, 96, 3)_BSV-176.jpg;BSV-176;BSV-176;1.0;✅
1755871157_0.92_(130, 134, 3)_L2N-738.jpg;L2N-738;Z2N-738;0.857;❌
1755871316_0.9_(51, 102, 3)_Z7M-111.jpg;Z7M-111;Z7M-111;1.0;✅
1755871358_0.9_(48, 96, 3)_CRO-577.jpg;CRO-577;CRO-577;1.0;✅
1755871447_0.9_(48, 101, 3)_V5S-570.jpg;V5S-570;V5S-570;1.0;✅
1755871461_0.9_(46, 96, 3)_APF-394.jpg;APF-394;APF-394;1.0;✅
1755871611_0.91_(57, 104, 3)_Z5V-413.jpg;Z5V-413;Z5V-413;1.0;✅
1755871634_0.9_(60, 108, 3)_V8J-069.jpg;V8J-069;V8J-069;1.0;✅
1755871753_0.91_(60, 106, 3)_Z5L-091.jpg;Z5L-091;Z5L-091;1.0;✅
1755871801_0.9_(47, 93, 3)_Z7S-679.jpg;Z7S-679;Z7S-679;1.0;✅
1755871807_0.9_(48, 99, 3)_Z8A-540.jpg;Z8A-540;Z8A-540;1.0;✅
1755871813_0.9_(63, 107, 3)_Z5D-490.jpg;Z5D-490;Z5D-490;1.0;✅
1755871836_0.9_(58, 116, 3)_V3C-453.jpg;V3C-453;V3C-453;1.0;✅
1755871886_0.9_(50, 104, 3)_Z6D-367.jpg;Z6D-367;Z6D-367;1.0;✅
1755871920_0.91_(63, 106, 3)_ASN-544.jpg;ASN-544;ASN-544;1.0;✅
1755871984_0.91_(49, 95, 3)_Z7L-650.jpg;Z7L-650;Z7L-650;1.0;✅
1755872015_0.9_(61, 112, 3)_Z5D-360.jpg;Z5D-360;Z5D-360;1.0;✅
1755872070_0.9_(52, 103, 3)_B1B-734.jpg;B1B-734;B1B-734;1.0;✅
1755872110_0.9_(51, 96, 3)_VOT-812.jpg;V0T-812;VOT-812;0.857;❌
1755872180_0.9_(48, 98, 3)_A9K-715.jpg;A9K-715;A9K-715;1.0;✅
1755872284_0.91_(145, 146, 3)_L10-760.jpg;Z10-760;L10-760;0.857;❌
1755872299_0.9_(54, 103, 3)_Z5G-467.jpg;Z5G-467;Z5G-467;1.0;✅
1755872312_0.9_(50, 97, 3)_Z7X-826.jpg;Z7X-826;Z7X-826;1.0;✅
1755872398_0.9_(49, 101, 3)_F3F-041.jpg;F3F-041;F3F-041;1.0;✅
1755872405_0.91_(59, 107, 3)_B1B-734.jpg;B1B-734;B1B-73;0.923;❌
1755872417_0.9_(49, 93, 3)_B31-104.jpg;B3I-104;B31-104;0.857;❌
1755872482_0.9_(58, 109, 3)_CJS-373.jpg;CJS-373;CJS-373;1.0;✅
1755872541_0.9_(123, 137, 3)_L10-760.jpg;Z10-760;L10-760;0.857;❌
1755872551_0.9_(50, 98, 3)_Z7V-417.jpg;Z7V-417;Z7V-417;1.0;✅
1755872552_0.91_(62, 109, 3)_77V-417.jpg;Z7V-417;77V-417;0.857;❌
1755872559_0.9_(46, 103, 3)_74K-739.jpg;74K-739;74K-739;1.0;✅
1755872559_0.9_(52, 107, 3)_Z4K-739.jpg;Z4K-739;Z4K-739;1.0;✅
1755872606_0.91_(48, 99, 3)_CRO-577.jpg;CRO-577;CRO-577;1.0;✅
1755872752_0.9_(51, 96, 3)_BKZ-705.jpg;BKZ-705;BKZ-705;1.0;✅
1755872828_0.9_(49, 94, 3)_Z2Q-310.jpg;Z2Q-310;Z2Q-310;1.0;✅
1755872884_0.9_(51, 103, 3)_V1T-101.jpg;V1T-101;V1T-101;1.0;✅
1755872968_0.91_(50, 96, 3)_C1A-878.jpg;C1A-878;C1A-878;1.0;✅
1755873119_0.91_(46, 95, 3)_42E-705.jpg;42E-705;42E:705;0.857;❌
1755873369_0.9_(56, 100, 3)_AFG-023.jpg;AFG-023;AFG-023;1.0;✅
1755873449_0.9_(55, 105, 3)_Z5G-139.jpg;Z5G-139;Z5G-139;1.0;✅
1755873458_0.91_(51, 98, 3)_W1A-763.jpg;W1A-763;W1A-763;1.0;✅
1755873467_0.9_(59, 112, 3)_BHB-015.jpg;BHB-015;BHB-015;1.0;✅
1755873478_0.9_(47, 98, 3)_42E-705.jpg;42E-705;42E-705;1.0;✅
1755873578_0.9_(56, 108, 3)_Z5X-789.jpg;Z5X-789;Z5X-789;1.0;✅
